dt,observed,e:2_Mercedes_32_1,e:5_Mercedes_32_1,e:10_Mercedes_32_1,e:20_Mercedes_32_1,e:2_Mercedes_32_7,e:5_Mercedes_32_7,e:10_Mercedes_32_7,e:20_Mercedes_32_7,e:2_Mercedes_32_15,e:5_Mercedes_32_15,e:10_Mercedes_32_15,e:20_Mercedes_32_15,e:2_Mercedes_32_30,e:5_Mercedes_32_30,e:10_Mercedes_32_30,e:20_Mercedes_32_30,e:2_Mercedes_160_1,e:5_Mercedes_160_1,e:10_Mercedes_160_1,e:20_Mercedes_160_1,e:2_Mercedes_160_7,e:5_Mercedes_160_7,e:10_Mercedes_160_7,e:20_Mercedes_160_7,e:2_Mercedes_160_15,e:5_Mercedes_160_15,e:10_Mercedes_160_15,e:20_Mercedes_160_15,e:2_Mercedes_160_30,e:5_Mercedes_160_30,e:10_Mercedes_160_30,e:20_Mercedes_160_30,e:2_Mercedes_352_1,e:5_Mercedes_352_1,e:10_Mercedes_352_1,e:20_Mercedes_352_1,e:2_Mercedes_352_7,e:5_Mercedes_352_7,e:10_Mercedes_352_7,e:20_Mercedes_352_7,e:2_Mercedes_352_15,e:5_Mercedes_352_15,e:10_Mercedes_352_15,e:20_Mercedes_352_15,e:2_Mercedes_352_30,e:5_Mercedes_352_30,e:10_Mercedes_352_30,e:20_Mercedes_352_30,e:2_Mercedes_512_1,e:5_Mercedes_512_1,e:10_Mercedes_512_1,e:20_Mercedes_512_1,e:2_Mercedes_512_7,e:5_Mercedes_512_7,e:10_Mercedes_512_7,e:20_Mercedes_512_7,e:2_Mercedes_512_15,e:5_Mercedes_512_15,e:10_Mercedes_512_15,e:20_Mercedes_512_15,e:2_Mercedes_512_30,e:5_Mercedes_512_30,e:10_Mercedes_512_30,e:20_Mercedes_512_30
2018-08-08,1.36,1.9689758,1.6490276,1.794365,1.8536888,2.0874124,2.6833522,2.3333266,1.3231444,2.2171557,7.6867285,1.0126909,1.9533443,1.0182333,0.53891593,2.0937717,1.3877827,2.2356057,2.0372307,1.6039642,1.8486784,1.7053983,3.369367,2.7015436,2.653095,2.2225082,1.3263451,2.6357126,1.3510832,0.9830323,1.4500712,0.68318367,1.6822157,1.5353794,2.0838082,1.6172812,1.6474098,2.0097854,2.401978,2.30951,1.7675034,6.942324,1.728939,2.1540637,1.7704813,2.1474206,1.4008259,5.311879,1.6710951,1.9173613,1.9679439,2.0300102,1.7291349,2.457885,2.2217257,1.7953432,1.6030309,1.1537929,2.156326,1.3475302,1.9173648,2.8285499,0.37752137,1.8862072,1.5493463
2018-08-09,1.55,1.7313594,2.005509,1.9976335,1.6015741,1.8067964,2.680211,2.7184858,1.7762486,0.8627712,0.8047626,1.490754,1.4757363,1.0867693,6.330267,0.83866435,1.1516671,1.898766,1.9721117,2.118956,1.5574324,1.0944272,2.1149464,1.9574317,2.753045,1.3800318,2.217467,1.4085896,1.7296396,1.3165427,2.4222414,1.7543613,1.2255973,2.1824224,1.3683107,1.5105717,1.5079678,2.9419768,2.3187551,2.6057,1.7263985,1.573978,1.5613859,1.5841066,1.7272952,2.8175757,1.58846,3.920564,1.1463506,2.3572803,2.1542246,1.5481982,1.2692238,1.2021513,2.5175173,2.2718716,1.752278,2.3043303,1.4124768,1.237611,1.6496637,1.7468053,1.2061579,3.3597658,1.2123486
2018-08-10,2.05,1.7530307,1.0839207,1.2531073,1.4655383,2.272344,2.0747032,3.441458,1.5464425,1.9583286,1.4632404,0.40530783,1.9211202,1.025511,0.9006862,0.9300682,1.273081,1.2478964,1.3038319,1.4119463,1.6908817,1.6838154,3.36289,4.265897,2.3191643,0.5247005,1.282045,1.994601,1.6126353,0.4044978,1.1037295,1.5658325,1.0795705,1.5155416,1.1181573,1.0052873,1.5842358,1.262916,1.470572,1.4918214,1.5927086,5.076091,2.9090762,1.6269703,1.5239938,2.046235,0.634167,5.119234,2.0249748,1.0552049,1.3957539,1.6974212,1.4462126,2.9963286,1.1640791,2.874419,1.568866,0.5587744,2.2628765,0.6153178,1.7058911,0.9199821,0.6903469,0.80171955,1.4430985
2018-08-11,1.85,2.0154276,1.8403461,1.5435474,1.6814659,1.5705575,1.3239672,2.8045127,3.2428417,1.7104497,2.1787727,1.0501969,2.7507625,2.4623375,1.6148229,0.7667167,1.7049625,1.390401,1.8351818,1.6733505,1.7045994,2.2700138,1.4140493,1.6864636,2.4124784,1.5159299,1.4848158,1.5166601,1.7289745,2.184371,2.4432254,0.71428055,1.1999602,1.9499793,1.7092136,1.5653883,1.8185638,2.8149183,2.3672838,1.3953711,1.5080074,5.32358,1.5095519,1.9805679,1.6481477,2.3624983,1.8813115,2.5474477,1.9485766,1.4987389,1.6221367,1.7764583,2.0212562,3.8481283,1.2139531,1.5886554,1.4377503,1.7529383,1.1907895,1.4440947,1.7746853,5.4524827,2.0385728,1.6547751,1.7077618
2018-08-12,1.95,2.212218,2.1703367,2.2457783,1.8996454,3.311458,2.1306224,2.79379,2.80711,2.8295782,2.7379553,1.7588844,2.9166014,1.2701509,0.81579405,0.98422045,1.6971401,3.0381339,1.9178632,1.9832606,2.2039564,2.5817277,2.6807218,2.3159912,2.6256456,0.44819635,0.9898371,1.6868545,1.6103886,0.74263334,0.83535904,1.2032729,1.3469343,2.0277417,2.8131845,2.0571177,1.9325306,2.2906084,1.9041544,2.5345767,1.6299831,1.3521737,5.758929,1.5669775,1.6667515,1.9794658,0.4631571,6.2054043,1.4535711,1.4718238,1.4708699,2.0791075,1.9195334,2.6605144,2.117237,1.5859431,1.6688012,0.9933132,1.0823877,1.3339981,1.605228,1.1833472,3.8174005,1.1277348,1.3011379
2018-08-13,1.85,1.9396225,1.7887752,1.9758128,1.9089357,1.5637027,1.2024384,1.5925541,1.6686151,0.2384695,1.778078,1.4716228,1.9982615,0.8874559,0.1836388,0.6199651,1.5830907,1.4744563,1.9610741,1.6651158,2.019642,1.4083351,2.7783113,1.8565642,1.9984185,1.3787756,0.9994231,1.438161,1.5582129,0.7639465,1.960335,1.6019012,1.6558108,1.6040397,2.1249702,1.6697025,1.9484549,1.6953958,2.9284105,1.7762058,1.4321809,1.1118034,1.4508053,2.3944871,1.9041376,1.8580877,1.0950657,2.03756,0.8748849,1.5041914,1.3457776,1.6557391,2.2601335,1.8492672,1.5009744,1.7043732,1.6219893,1.255252,2.192579,1.587612,1.4199946,3.0023928,1.7984297,1.4346021,1.1193992
2018-08-14,1.91,1.9247715,1.7250718,1.9481843,2.0070088,1.9799247,0.7444082,2.3973198,1.8794296,1.5369438,1.9610603,0.6255056,4.1360364,1.6605645,1.8012462,1.2559555,1.6623789,1.962203,2.0052116,2.0178978,1.9004883,1.9683087,1.7653773,1.4002744,2.088301,5.8108068,1.3719909,0.6594331,1.7319149,1.1472206,1.3629477,3.580905,2.008263,1.5112623,1.8118932,1.7977272,2.068218,1.692544,1.0972549,0.9419603,1.6188588,4.0691376,2.1600668,3.4419312,1.4280552,1.7772049,0.74891764,2.0339134,1.0579945,1.5834763,1.4393331,1.94787,1.757718,1.7581482,2.3287017,1.840593,1.4915079,1.7913071,2.2668467,1.837488,1.005056,3.1720972,1.8179915,1.8951286,1.304365
2018-08-15,1.65,1.763538,2.1891844,1.7659675,1.613113,2.0458632,1.7667398,1.6516367,1.3944174,2.8606305,1.8105555,0.9695986,3.1880262,0.27461755,1.0291243,1.291968,1.4813641,1.9394628,1.4822521,1.7196212,2.0575726,0.8674121,1.7727587,1.8147737,1.5247334,2.3521607,1.4424981,1.5299201,2.2265399,1.4610626,1.4941013,2.8636022,0.67390394,1.3783792,1.887969,1.5471891,1.9580101,3.3107395,1.2843772,2.547517,1.1491479,1.785828,2.093699,1.1678721,1.6181117,2.2766006,1.1449813,3.5025315,1.2852826,1.9096576,1.8204536,1.6925666,1.7143627,1.2212967,1.3953329,1.9285895,0.783595,1.411285,1.6747115,1.7698994,1.1948534,1.6921312,1.226156,1.7628257,1.1585566
2018-08-16,1.94,2.286442,1.9178709,1.6935582,1.8504993,1.6915733,1.7531252,2.5932248,1.2596792,3.831763,1.0895636,2.8822792,1.8321506,0.74337876,1.6342025,0.66531825,1.4934902,1.8012394,1.7686923,1.6696237,1.8763065,2.4383695,1.7531825,1.3408724,1.7181668,1.4372517,0.92819,1.5761653,2.729004,0.8431317,1.081111,2.621694,1.224771,2.020272,1.9705735,1.9409865,1.8955292,2.7825742,2.0221553,2.8673933,1.2296525,3.1168141,3.368734,5.348222,1.3323792,0.9654895,1.490015,4.970328,1.2356955,2.064515,1.6210568,1.7960856,1.5086913,2.312327,2.659482,1.5480001,1.2135867,2.134899,1.8771784,1.591848,1.2255216,4.0817485,2.0022156,1.998786,1.204085
2018-08-17,1.88,1.6814431,2.380807,1.414231,1.8209475,2.6721468,2.4363742,2.7006078,1.945259,0.9642137,1.109162,2.5104194,2.4014854,0.64089966,4.696004,1.3638781,1.7155716,1.5259316,1.4131566,1.676125,1.9935739,0.8316883,1.8570765,2.1598344,1.807319,2.0222368,1.356941,1.6419234,1.7676351,0.11392369,0.4510528,2.5933475,1.313797,1.5115836,1.5781659,1.6445807,1.7875326,1.6176766,1.753117,3.1329706,1.8634261,1.7408574,1.7972219,2.0409417,1.147946,2.528318,0.878063,4.044405,1.1553956,1.2296342,1.2951026,1.5056577,1.7950852,1.4698722,2.298067,1.7423826,1.7284791,2.6329968,6.128319,1.1257646,1.5677086,1.9765589,1.312395,1.867406,1.478898
