dt,observed,Mercedes_32_1,Mercedes_32_7,Mercedes_32_15,Mercedes_32_30,Mercedes_160_1,Mercedes_160_7,Mercedes_160_15,Mercedes_160_30,Mercedes_352_1,Mercedes_352_7,Mercedes_352_15,Mercedes_352_30
2015-01-01,1.85,,,,,,,,,,,,
2015-01-02,1.85,,,,,,,,,,,,
2015-01-03,2.2,,,,,,,,,,,,
2015-01-04,1.58,,,,,,,,,,,,
2015-01-05,1.85,,,,,,,,,,,,
2015-01-06,1.67,,,,,,,,,,,,
2015-01-07,2.2,,,,,,,,,,,,
2015-01-08,2.75,,,,,,,,,,,,
2015-01-09,2.92,,,,,,,,,,,,
2015-01-10,3.1,,,,,,,,,,,,
2015-01-11,3.0,,,,,,,,,,,,
2015-01-12,2.85,,,,,,,,,,,,
2015-01-13,2.55,,,,,,,,,,,,
2015-01-14,3.0,,,,,,,,,,,,
2015-01-15,3.45,,,,,,,,,,,,
2015-01-16,4.0,,,,,,,,,,,,
2015-01-17,4.1,,,,,,,,,,,,
2015-01-18,3.62,,,,,,,,,,,,
2015-01-19,3.4,,,,,,,,,,,,
2015-01-20,3.3,,,,,,,,,,,,
2015-01-21,3.52,,,,,,,,,,,,
2015-01-22,3.15,,,,,,,,,,,,
2015-01-23,2.6,,,,,,,,,,,,
2015-01-24,2.5,,,,,,,,,,,,
2015-01-25,2.2,,,,,,,,,,,,
2015-01-26,2.0,,,,,,,,,,,,
2015-01-27,2.0,,,,,,,,,,,,
2015-01-28,1.8,,,,,,,,,,,,
2015-01-29,2.15,,,,,,,,,,,,
2015-01-30,2.44,,,,,,,,,,,,
2015-01-31,1.85,,,,,,,,,,,,
2015-02-01,1.65,,,,,,,,,,,,
2015-02-02,1.62,,,,,,,,,,,,
2015-02-03,1.64,,,,,,,,,,,,
2015-02-04,1.63,,,,,,,,,,,,
2015-02-05,1.5,,,,,,,,,,,,
2015-02-06,1.48,,,,,,,,,,,,
2015-02-07,1.35,,,,,,,,,,,,
2015-02-08,1.5,,,,,,,,,,,,
2015-02-09,1.4,,,,,,,,,,,,
2015-02-10,1.7,,,,,,,,,,,,
2015-02-11,2.0,,,,,,,,,,,,
2015-02-12,1.9,,,,,,,,,,,,
2015-02-13,1.73,,,,,,,,,,,,
2015-02-14,2.1,,,,,,,,,,,,
2015-02-15,1.75,,,,,,,,,,,,
2015-02-16,1.4,,,,,,,,,,,,
2015-02-17,1.24,,,,,,,,,,,,
2015-02-18,0.6,,,,,,,,,,,,
2015-02-19,1.0,,,,,,,,,,,,
2015-02-20,2.0,,,,,,,,,,,,
2015-02-21,1.75,,,,,,,,,,,,
2015-02-22,1.35,,,,,,,,,,,,
2015-02-23,0.85,,,,,,,,,,,,
2015-02-24,0.95,,,,,,,,,,,,
2015-02-25,1.85,,,,,,,,,,,,
2015-02-26,2.05,,,,,,,,,,,,
2015-02-27,2.0,,,,,,,,,,,,
2015-02-28,1.95,,,,,,,,,,,,
2015-03-01,1.7,,,,,,,,,,,,
2015-03-02,1.52,,,,,,,,,,,,
2015-03-03,1.65,,,,,,,,,,,,
2015-03-04,2.05,,,,,,,,,,,,
2015-03-05,2.1,,,,,,,,,,,,
2015-03-06,1.95,,,,,,,,,,,,
2015-03-07,1.65,,,,,,,,,,,,
2015-03-08,1.21,,,,,,,,,,,,
2015-03-09,0.9,,,,,,,,,,,,
2015-03-10,1.53,,,,,,,,,,,,
2015-03-11,1.6,,,,,,,,,,,,
2015-03-12,1.57,,,,,,,,,,,,
2015-03-13,1.68,,,,,,,,,,,,
2015-03-14,1.7,,,,,,,,,,,,
2015-03-15,2.0,,,,,,,,,,,,
2015-03-16,2.0,,,,,,,,,,,,
2015-03-17,1.9,,,,,,,,,,,,
2015-03-18,1.98,,,,,,,,,,,,
2015-03-19,2.05,,,,,,,,,,,,
2015-03-20,2.05,,,,,,,,,,,,
2015-03-21,2.0,,,,,,,,,,,,
2015-03-22,2.16,,,,,,,,,,,,
2015-03-23,1.98,,,,,,,,,,,,
2015-03-24,1.65,,,,,,,,,,,,
2015-03-25,1.54,,,,,,,,,,,,
2015-03-26,1.53,,,,,,,,,,,,
2015-03-27,1.7,,,,,,,,,,,,
2015-03-28,1.48,,,,,,,,,,,,
2015-03-29,1.0,,,,,,,,,,,,
2015-03-30,0.85,,,,,,,,,,,,
2015-03-31,1.33,,,,,,,,,,,,
2015-04-01,0.6,,,,,,,,,,,,
2015-04-02,1.23,,,,,,,,,,,,
2015-04-03,1.2,,,,,,,,,,,,
2015-04-04,1.9,,,,,,,,,,,,
2015-04-05,1.8,,,,,,,,,,,,
2015-04-06,1.68,,,,,,,,,,,,
2015-04-07,1.7,,,,,,,,,,,,
2015-04-08,1.3,,,,,,,,,,,,
2015-04-09,0.81,,,,,,,,,,,,
2015-04-10,0.95,,,,,,,,,,,,
2015-04-11,0.97,,,,,,,,,,,,
2015-04-12,1.0,,,,,,,,,,,,
2015-04-13,1.15,,,,,,,,,,,,
2015-04-14,0.35,,,,,,,,,,,,
2015-04-15,0.85,,,,,,,,,,,,
2015-04-16,1.6,,,,,,,,,,,,
2015-04-17,1.2,,,,,,,,,,,,
2015-04-18,0.78,,,,,,,,,,,,
2015-04-19,0.75,,,,,,,,,,,,
2015-04-20,0.55,,,,,,,,,,,,
2015-04-21,1.2,,,,,,,,,,,,
2015-04-22,1.45,,,,,,,,,,,,
2015-04-23,0.75,,,,,,,,,,,,
2015-04-24,0.4,,,,,,,,,,,,
2015-04-25,0.58,,,,,,,,,,,,
2015-04-26,0.5,,,,,,,,,,,,
2015-04-27,0.45,,,,,,,,,,,,
2015-04-28,0.9,,,,,,,,,,,,
2015-04-29,1.0,,,,,,,,,,,,
2015-04-30,0.35,,,,,,,,,,,,
2015-05-01,0.1,,,,,,,,,,,,
2015-05-02,0.2,,,,,,,,,,,,
2015-05-03,0.35,,,,,,,,,,,,
2015-05-04,0.8,,,,,,,,,,,,
2015-05-05,0.8,,,,,,,,,,,,
2015-05-06,1.05,,,,,,,,,,,,
2015-05-07,1.6,,,,,,,,,,,,
2015-05-08,0.9,,,,,,,,,,,,
2015-05-09,0.58,,,,,,,,,,,,
2015-05-10,0.83,,,,,,,,,,,,
2015-05-11,0.83,,,,,,,,,,,,
2015-05-12,0.5,,,,,,,,,,,,
2015-05-13,0.4,,,,,,,,,,,,
2015-05-14,0.35,,,,,,,,,,,,
2015-05-15,0.35,,,,,,,,,,,,
2015-05-16,0.5,,,,,,,,,,,,
2015-05-17,0.65,,,,,,,,,,,,
2015-05-18,0.5,,,,,,,,,,,,
2015-05-19,0.67,,,,,,,,,,,,
2015-05-20,0.6,,,,,,,,,,,,
2015-05-21,0.6,,,,,,,,,,,,
2015-05-22,0.6,,,,,,,,,,,,
2015-05-23,0.57,,,,,,,,,,,,
2015-05-24,1.0,,,,,,,,,,,,
2015-05-25,1.2,,,,,,,,,,,,
2015-05-26,0.8,,,,,,,,,,,,
2015-05-27,0.88,,,,,,,,,,,,
2015-05-28,1.2,,,,,,,,,,,,
2015-05-29,0.6,,,,,,,,,,,,
2015-05-30,0.4,,,,,,,,,,,,
2015-05-31,0.4,,,,,,,,,,,,
2015-06-01,0.75,,,,,,,,,,,,
2015-06-02,0.55,,,,,,,,,,,,
2015-06-03,0.61,,,,,,,,,,,,
2015-06-04,0.37,,,,,,,,,,,,
2015-06-05,0.9,,,,,,,,,,,,
2015-06-06,0.9,,,,,,,,,,,,
2015-06-07,1.35,,,,,,,,,,,,
2015-06-08,0.98,,,,,,,,,,,,
2015-06-09,1.2,,,,,,,,,,,,
2015-06-10,1.25,,,,,,,,,,,,
2015-06-11,1.2,,,,,,,,,,,,
2015-06-12,1.25,,,,,,,,,,,,
2015-06-13,1.15,,,,,,,,,,,,
2015-06-14,1.1,,,,,,,,,,,,
2015-06-15,1.1,,,,,,,,,,,,
2015-06-16,0.6,,,,,,,,,,,,
2015-06-17,0.6,,,,,,,,,,,,
2015-06-18,1.0,,,,,,,,,,,,
2015-06-19,1.7,,,,,,,,,,,,
2015-06-20,1.4,,,,,,,,,,,,
2015-06-21,1.2,,,,,,,,,,,,
2015-06-22,1.3,,,,,,,,,,,,
2015-06-23,1.35,,,,,,,,,,,,
2015-06-24,1.72,,,,,,,,,,,,
2015-06-25,1.32,,,,,,,,,,,,
2015-06-26,1.05,,,,,,,,,,,,
2015-06-27,1.0,,,,,,,,,,,,
2015-06-28,0.75,,,,,,,,,,,,
2015-06-29,0.87,,,,,,,,,,,,
2015-06-30,0.71,,,,,,,,,,,,
2015-07-01,1.15,,,,,,,,,,,,
2015-07-02,1.68,,,,,,,,,,,,
2015-07-03,1.52,,,,,,,,,,,,
2015-07-04,1.65,,,,,,,,,,,,
2015-07-05,2.0,,,,,,,,,,,,
2015-07-06,1.2,,,,,,,,,,,,
2015-07-07,1.35,,,,,,,,,,,,
2015-07-08,1.37,,,,,,,,,,,,
2015-07-09,1.3,,,,,,,,,,,,
2015-07-10,0.97,,,,,,,,,,,,
2015-07-11,1.45,,,,,,,,,,,,
2015-07-12,1.43,,,,,,,,,,,,
2015-07-13,1.0,,,,,,,,,,,,
2015-07-14,1.58,,,,,,,,,,,,
2015-07-15,1.15,,,,,,,,,,,,
2015-07-16,1.55,,,,,,,,,,,,
2015-07-17,1.45,,,,,,,,,,,,
2015-07-18,1.55,,,,,,,,,,,,
2015-07-19,1.12,,,,,,,,,,,,
2015-07-20,1.52,,,,,,,,,,,,
2015-07-21,1.95,,,,,,,,,,,,
2015-07-22,1.98,,,,,,,,,,,,
2015-07-23,2.0,,,,,,,,,,,,
2015-07-24,1.9,,,,,,,,,,,,
2015-07-25,1.95,,,,,,,,,,,,
2015-07-26,1.45,,,,,,,,,,,,
2015-07-27,1.28,,,,,,,,,,,,
2015-07-28,1.25,,,,,,,,,,,,
2015-07-29,1.35,,,,,,,,,,,,
2015-07-30,1.52,,,,,,,,,,,,
2015-07-31,1.68,,,,,,,,,,,,
2015-08-01,1.6,,,,,,,,,,,,
2015-08-02,1.6,,,,,,,,,,,,
2015-08-03,1.5,,,,,,,,,,,,
2015-08-04,1.5,,,,,,,,,,,,
2015-08-05,1.48,,,,,,,,,,,,
2015-08-06,1.48,,,,,,,,,,,,
2015-08-07,1.2,,,,,,,,,,,,
2015-08-08,1.85,,,,,,,,,,,,
2015-08-09,1.5,,,,,,,,,,,,
2015-08-10,1.75,,,,,,,,,,,,
2015-08-11,1.8,,,,,,,,,,,,
2015-08-12,1.9,,,,,,,,,,,,
2015-08-13,2.77,,,,,,,,,,,,
2015-08-14,3.32,,,,,,,,,,,,
2015-08-15,4.55,,,,,,,,,,,,
2015-08-16,5.5,,,,,,,,,,,,
2015-08-17,5.78,,,,,,,,,,,,
2015-08-18,5.45,,,,,,,,,,,,
2015-08-19,5.12,,,,,,,,,,,,
2015-08-20,5.0,,,,,,,,,,,,
2015-08-21,4.95,,,,,,,,,,,,
2015-08-22,4.83,,,,,,,,,,,,
2015-08-23,4.73,,,,,,,,,,,,
2015-08-24,3.8,,,,,,,,,,,,
2015-08-25,3.0,,,,,,,,,,,,
2015-08-26,1.98,,,,,,,,,,,,
2015-08-27,1.3,,,,,,,,,,,,
2015-08-28,1.87,,,,,,,,,,,,
2015-08-29,1.95,,,,,,,,,,,,
2015-08-30,2.1,,,,,,,,,,,,
2015-08-31,1.98,,,,,,,,,,,,
2015-09-01,2.08,,,,,,,,,,,,
2015-09-02,2.65,,,,,,,,,,,,
2015-09-03,2.35,,,,,,,,,,,,
2015-09-04,2.1,,,,,,,,,,,,
2015-09-05,2.08,,,,,,,,,,,,
2015-09-06,1.76,,,,,,,,,,,,
2015-09-07,1.63,,,,,,,,,,,,
2015-09-08,1.83,,,,,,,,,,,,
2015-09-09,1.85,,,,,,,,,,,,
2015-09-10,1.5,,,,,,,,,,,,
2015-09-11,1.89,,,,,,,,,,,,
2015-09-12,2.0,,,,,,,,,,,,
2015-09-13,1.85,,,,,,,,,,,,
2015-09-14,1.47,,,,,,,,,,,,
2015-09-15,1.5,,,,,,,,,,,,
2015-09-16,1.45,,,,,,,,,,,,
2015-09-17,1.75,,,,,,,,,,,,
2015-09-18,1.75,,,,,,,,,,,,
2015-09-19,1.68,,,,,,,,,,,,
2015-09-20,0.98,,,,,,,,,,,,
2015-09-21,1.5,,,,,,,,,,,,
2015-09-22,1.8,,,,,,,,,,,,
2015-09-23,2.04,,,,,,,,,,,,
2015-09-24,2.0,,,,,,,,,,,,
2015-09-25,2.1,,,,,,,,,,,,
2015-09-26,2.21,,,,,,,,,,,,
2015-09-27,2.05,,,,,,,,,,,,
2015-09-28,2.0,,,,,,,,,,,,
2015-09-29,2.0,,,,,,,,,,,,
2015-09-30,1.98,,,,,,,,,,,,
2015-10-01,2.05,,,,,,,,,,,,
2015-10-02,2.4,,,,,,,,,,,,
2015-10-03,2.93,,,,,,,,,,,,
2015-10-04,3.08,,,,,,,,,,,,
2015-10-05,3.3,,,,,,,,,,,,
2015-10-06,3.7,,,,,,,,,,,,
2015-10-07,4.13,,,,,,,,,,,,
2015-10-08,3.8,,,,,,,,,,,,
2015-10-09,3.62,,,,,,,,,,,,
2015-10-10,3.66,,,,,,,,,,,,
2015-10-11,3.7,,,,,,,,,,,,
2015-10-12,3.22,,,,,,,,,,,,
2015-10-13,3.09,,,,,,,,,,,,
2015-10-14,2.95,,,,,,,,,,,,
2015-10-15,3.0,,,,,,,,,,,,
2015-10-16,3.05,,,,,,,,,,,,
2015-10-17,3.15,,,,,,,,,,,,
2015-10-18,3.0,,,,,,,,,,,,
2015-10-19,2.95,,,,,,,,,,,,
2015-10-20,2.9,,,,,,,,,,,,
2015-10-21,2.9,,,,,,,,,,,,
2015-10-22,3.3,,,,,,,,,,,,
2015-10-23,3.58,,,,,,,,,,,,
2015-10-24,3.7,,,,,,,,,,,,
2015-10-25,3.58,,,,,,,,,,,,
2015-10-26,3.5,,,,,,,,,,,,
2015-10-27,3.3,,,,,,,,,,,,
2015-10-28,3.03,,,,,,,,,,,,
2015-10-29,2.9,,,,,,,,,,,,
2015-10-30,2.95,,,,,,,,,,,,
2015-10-31,3.22,,,,,,,,,,,,
2015-11-01,3.39,,,,,,,,,,,,
2015-11-02,3.5,,,,,,,,,,,,
2015-11-03,3.3,,,,,,,,,,,,
2015-11-04,3.5,,,,,,,,,,,,
2015-11-05,3.5,,,,,,,,,,,,
2015-11-06,3.45,,,,,,,,,,,,
2015-11-07,3.35,,,,,,,,,,,,
2015-11-08,3.3,,,,,,,,,,,,
2015-11-09,2.9,,,,,,,,,,,,
