dt,observed,Mercedes_Level_32_1,Mercedes_Level_32_7,Mercedes_Level_32_15,Mercedes_Level_32_30,Mercedes_Level_160_1,Mercedes_Level_160_7,Mercedes_Level_160_15,Mercedes_Level_160_30,Mercedes_Level_224_1,Mercedes_Level_224_7,Mercedes_Level_224_15,Mercedes_Level_224_30,Mercedes_Level_352_1,Mercedes_Level_352_7,Mercedes_Level_352_15,Mercedes_Level_352_30,Mercedes_Level_384_1,Mercedes_Level_384_7,Mercedes_Level_384_15,Mercedes_Level_384_30,Mercedes_Level_480_1,Mercedes_Level_480_7,Mercedes_Level_480_15,Mercedes_Level_480_30
2015-01-01 07:00:00,1.85,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02 07:00:00,1.85,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-03 07:00:00,2.2,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-04 07:00:00,1.58,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-05 07:00:00,1.85,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06 07:00:00,1.67,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07 07:00:00,2.2,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08 07:00:00,2.75,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09 07:00:00,2.92,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-10 07:00:00,3.1,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-11 07:00:00,3.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-12 07:00:00,2.85,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13 07:00:00,2.55,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14 07:00:00,3.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-15 07:00:00,3.45,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-16 07:00:00,4.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-17 07:00:00,4.1,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-18 07:00:00,3.62,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-19 07:00:00,3.4,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-20 07:00:00,3.3,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-21 07:00:00,3.52,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-22 07:00:00,3.15,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-23 07:00:00,2.6,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-24 07:00:00,2.5,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-25 07:00:00,2.2,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-26 07:00:00,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-27 07:00:00,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-28 07:00:00,1.8,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29 07:00:00,2.15,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-30 07:00:00,2.44,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-31 07:00:00,1.85,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-01 07:00:00,1.65,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-02 07:00:00,1.62,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-03 07:00:00,1.64,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-04 07:00:00,1.63,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-05 07:00:00,1.5,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-06 07:00:00,1.48,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-07 07:00:00,1.35,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-08 07:00:00,1.5,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-09 07:00:00,1.4,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-10 07:00:00,1.7,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-11 07:00:00,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-12 07:00:00,1.9,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-13 07:00:00,1.73,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-14 07:00:00,2.1,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-15 07:00:00,1.75,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-16 07:00:00,1.4,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-17 07:00:00,1.24,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-18 07:00:00,0.6,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-19 07:00:00,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-20 07:00:00,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-21 07:00:00,1.75,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-22 07:00:00,1.35,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-23 07:00:00,0.85,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-24 07:00:00,0.95,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-25 07:00:00,1.85,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-26 07:00:00,2.05,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-27 07:00:00,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-28 07:00:00,1.95,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01 07:00:00,1.7,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-02 07:00:00,1.52,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-03 07:00:00,1.65,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-04 07:00:00,2.05,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-05 07:00:00,2.1,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-06 07:00:00,1.95,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-07 07:00:00,1.65,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-08 07:00:00,1.21,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-09 07:00:00,0.9,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-10 07:00:00,1.53,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-11 07:00:00,1.6,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-12 07:00:00,1.57,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-13 07:00:00,1.68,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-14 07:00:00,1.7,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-15 07:00:00,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-16 07:00:00,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-17 07:00:00,1.9,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-18 07:00:00,1.98,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-19 07:00:00,2.05,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-20 07:00:00,2.05,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-21 07:00:00,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-22 07:00:00,2.16,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-23 07:00:00,1.98,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-24 07:00:00,1.65,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-25 07:00:00,1.54,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-26 07:00:00,1.53,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-27 07:00:00,1.7,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-28 07:00:00,1.48,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-29 07:00:00,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-30 07:00:00,0.85,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31 07:00:00,1.33,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01 07:00:00,0.6,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-02 07:00:00,1.23,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-03 07:00:00,1.2,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-04 07:00:00,1.9,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-05 07:00:00,1.8,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-06 07:00:00,1.68,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-07 07:00:00,1.7,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-08 07:00:00,1.3,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-09 07:00:00,0.81,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-10 07:00:00,0.95,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-11 07:00:00,0.97,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-12 07:00:00,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-13 07:00:00,1.15,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-14 07:00:00,0.35,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-15 07:00:00,0.85,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-16 07:00:00,1.6,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-17 07:00:00,1.2,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-18 07:00:00,0.78,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-19 07:00:00,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-20 07:00:00,0.55,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-21 07:00:00,1.2,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-22 07:00:00,1.45,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-23 07:00:00,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-24 07:00:00,0.4,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-25 07:00:00,0.58,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-26 07:00:00,0.5,,,,,,,,,,,,,,,,,,,,,,,,
