dt,observed,Mercedes_Level_no_Covariables_7_1,Mercedes_Level_+_Mercedes_Rain_7_1,Mercedes_Level_+_All_Levels_7_1,Mercedes_Level_+_All_Levels_+_All_Rain_7_1,Mercedes_Level_no_Covariables_7_7,Mercedes_Level_+_Mercedes_Rain_7_7,Mercedes_Level_+_All_Levels_7_7,Mercedes_Level_+_All_Levels_+_All_Rain_7_7,Mercedes_Level_no_Covariables_7_30,Mercedes_Level_+_Mercedes_Rain_7_30,Mercedes_Level_+_All_Levels_7_30,Mercedes_Level_+_All_Levels_+_All_Rain_7_30,Mercedes_Level_no_Covariables_160_1,Mercedes_Level_+_Mercedes_Rain_160_1,Mercedes_Level_+_All_Levels_160_1,Mercedes_Level_+_All_Levels_+_All_Rain_160_1,Mercedes_Level_no_Covariables_160_7,Mercedes_Level_+_Mercedes_Rain_160_7,Mercedes_Level_+_All_Levels_160_7,Mercedes_Level_+_All_Levels_+_All_Rain_160_7,Mercedes_Level_no_Covariables_160_30,Mercedes_Level_+_Mercedes_Rain_160_30,Mercedes_Level_+_All_Levels_160_30,Mercedes_Level_+_All_Levels_+_All_Rain_160_30,Mercedes_Level_no_Covariables_365_1,Mercedes_Level_+_Mercedes_Rain_365_1,Mercedes_Level_+_All_Levels_365_1,Mercedes_Level_+_All_Levels_+_All_Rain_365_1,Mercedes_Level_no_Covariables_365_7,Mercedes_Level_+_Mercedes_Rain_365_7,Mercedes_Level_+_All_Levels_365_7,Mercedes_Level_+_All_Levels_+_All_Rain_365_7,Mercedes_Level_no_Covariables_365_30,Mercedes_Level_+_Mercedes_Rain_365_30,Mercedes_Level_+_All_Levels_365_30,Mercedes_Level_+_All_Levels_+_All_Rain_365_30,Mercedes_Level_no_Covariables_500_1,Mercedes_Level_+_Mercedes_Rain_500_1,Mercedes_Level_+_All_Levels_500_1,Mercedes_Level_+_All_Levels_+_All_Rain_500_1,Mercedes_Level_no_Covariables_500_7,Mercedes_Level_+_Mercedes_Rain_500_7,Mercedes_Level_+_All_Levels_500_7,Mercedes_Level_+_All_Levels_+_All_Rain_500_7,Mercedes_Level_no_Covariables_500_30,Mercedes_Level_+_Mercedes_Rain_500_30,Mercedes_Level_+_All_Levels_500_30,Mercedes_Level_+_All_Levels_+_All_Rain_500_30
2019-03-15,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-16,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-17,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-18,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-19,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-20,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-21,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-22,1.7,0.9937931,1.0631742,0.9898383,1.7066628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-23,1.75,1.599548,1.0621467,1.7031986,0.8071066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-24,1.55,1.3098757,1.5563337,1.3658504,1.3160429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-25,1.6,0.63629365,1.6207666,1.1839497,1.6173103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-26,2.0,2.0756593,1.1673236,1.7020413,1.4080615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-27,1.9,1.957639,1.5085195,1.7996974,1.8281127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-28,1.85,1.103421,2.0311332,2.3443873,1.8671339,1.9957863,1.1180501,1.7263097,0.9202477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-29,1.6,1.9015555,1.5133486,1.5349045,1.7264104,2.5584455,1.7590492,2.114936,0.691442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-30,1.49,0.8821843,2.2483523,1.2084783,2.1337645,4.182539,2.227242,2.374962,1.1777225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-31,1.45,1.7528628,1.7472054,1.6281642,1.5271145,1.2449646,1.9589007,2.176366,0.4014511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-01,1.48,1.3395023,1.5014027,0.9703014,1.3433712,0.9629748,0.70786893,0.42266142,1.3762423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-02,1.28,1.5108889,1.5510036,1.2612509,1.7749779,2.347959,2.063579,11.34817,1.8462174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-03,1.35,0.9636678,1.1023288,0.8088256,1.2613114,0.38199437,1.0171361,1.7655859,1.9008365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-04,2.05,1.3362906,1.4313061,0.69352305,0.8658599,1.9585438,5.83236,1.2502505,2.430767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-05,1.75,1.0956337,2.9425898,2.2779408,1.8197548,0.9659065,1.8600125,1.3904316,2.0515127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-06,2.25,1.3274841,1.0483167,2.132329,1.2510204,-0.5956439,1.4092124,2.0944767,1.7060993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-07,1.75,2.4070745,2.8569908,0.620939,1.1720488,1.1154306,0.79778993,1.7275864,1.4800125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-08,1.6,1.9918659,1.2252795,0.95568967,1.0545542,0.18865716,1.7468905,1.2253184,1.4662291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-09,1.65,1.4239829,2.3115673,2.1695623,0.9132481,-2.3306952,1.137657,1.8477964,3.1625428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-10,1.2,1.9042928,1.5213307,2.0990355,1.5804383,0.97124535,0.82158273,1.1961222,1.3361214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-11,0.9,1.5465727,0.64681005,1.0526993,1.0434482,0.59412754,1.935102,1.7555509,1.1430165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-12,1.55,2.4165027,1.7219144,0.5289793,0.5585027,0.3037511,0.7015966,0.5998636,1.3497376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-13,1.48,1.1474392,2.0159326,2.7488823,1.911156,0.7907295,0.49394464,0.37286937,1.1640326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-14,1.0,1.1191719,1.9146314,2.1089046,0.48971266,1.1648507,1.3583225,1.9044776,0.37529862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-15,1.02,0.58258796,0.34328222,0.7977339,1.9623405,0.37147486,2.1793678,1.0214689,1.3688205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-16,1.69,1.1519418,1.2621028,0.9090572,1.4494225,2.1490467,0.52868414,0.14069116,0.23322475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-17,1.22,1.3048002,1.5851737,0.46565992,1.021889,0.69421446,0.8866374,0.579924,2.7528048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-18,1.0,0.8413261,-0.845019,0.82660025,0.81948054,0.562773,-0.066993,0.10676241,1.1384015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-19,1.7,0.39422172,1.5397725,1.4528832,0.6538915,0.9243245,3.0581834,0.17793071,-0.067145705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-20,1.59,1.4831308,2.0669143,0.84113145,2.0011072,0.15225208,1.6452668,1.4382293,1.1708109,2.701102,1.4207929,0.93459785,1.7325048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-21,1.7,0.8427148,1.8943923,1.2559677,1.2545975,0.99488395,0.3494088,1.06325,0.46104115,0.72416574,-0.058803678,0.6978708,-0.2041676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-22,1.5,1.1599154,2.82557,1.4171429,1.9309292,0.53259355,1.5961579,0.48406237,0.7947341,0.32208204,0.02693355,1.3457568,0.8501487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-23,1.68,0.75699866,0.9272881,1.2615067,1.6914896,0.620467,-1.1562409,1.6084683,0.95311534,2.2113214,0.049662948,1.304092,1.1823869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-24,1.73,0.8509827,1.31568,1.6553421,1.240797,0.0010999441,1.2320554,0.5749814,1.0923609,1.6327631,0.4071955,2.5280972,1.322287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-25,1.85,1.3083183,-1.4514166,1.444315,1.5228461,1.2634946,0.7069616,1.771908,1.2531953,2.912551,0.43693817,-0.258345,4.169817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-26,1.43,1.3260579,1.7796383,1.3385204,1.4983696,0.788881,4.009615,0.5452339,1.0867188,0.19901127,2.9857473,-0.28799558,-1.514904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-27,1.4,0.96949685,1.7603807,0.75139874,0.77456576,-0.10741508,0.028340459,0.7507973,0.888978,0.7102341,-0.605253,1.5573732,1.7645273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-28,1.44,1.3842144,1.3375523,1.1581639,0.988437,2.210324,5.3206215,1.6691277,1.1055841,0.35335642,-1.7786,1.0204875,0.6289078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-29,1.28,1.9560081,1.8315185,1.381075,1.134465,1.8892071,2.0695565,0.87617254,1.9337075,0.134081,0.31727457,1.1954345,3.55581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-30,1.25,1.1463147,2.5498276,1.0825231,1.2152029,1.5113233,0.99848723,1.6731906,3.1462584,0.5553659,1.1510754,0.8096093,1.1455237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-01,1.6,1.052388,1.3064244,0.98511755,1.5814693,0.8181363,2.057596,1.481624,0.37389624,0.39668143,1.9851501,1.3743215,1.9564979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-02,1.8,1.6241795,1.0629338,2.0021794,1.6415209,1.2375567,0.9519825,1.3094482,1.7193692,1.5390182,0.47592998,1.4660172,0.39526075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-03,1.65,1.390664,1.1287415,1.6594905,1.4888996,0.12629545,0.44724226,1.749187,1.7312064,4.8463693,-0.70812047,0.55516577,3.4539819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-04,1.85,1.2767397,0.47588503,1.7945719,1.0208769,0.40759408,1.1904817,2.0424008,1.8279246,1.3856235,0.7300685,2.0409002,0.5265982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-05,1.85,1.1999013,1.1404192,1.561949,0.85111165,1.6297344,0.60564405,1.1099528,0.98922986,1.8058182,1.6425414,2.5792255,1.2849239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-06,1.65,2.0273623,1.8942195,1.8033967,1.1058402,0.20494318,1.7352552,1.2461437,1.42135,2.0366378,0.8818551,3.9445975,1.5433135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-07,2.08,0.9361868,1.8072485,1.708086,1.6466142,1.1944194,0.6899895,1.2705534,0.8553885,0.79858696,0.3240916,1.1694587,-0.956813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-08,1.9,1.6263983,1.9746315,1.0673592,2.3872764,0.029793024,0.3687867,1.182909,1.174369,2.0234008,0.66374314,0.4973731,3.855712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-09,1.75,1.700042,1.5311677,2.0041244,1.5959322,1.8619604,0.6245738,2.2150707,3.0132818,0.489488,3.0191488,4.749238,0.38351893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-10,1.69,0.7016903,2.0312226,1.9118565,1.4469668,0.64382666,0.82136023,1.6713368,1.685868,0.27081633,0.52301854,1.616618,0.5240153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-11,1.57,1.4273533,1.4058675,1.8721617,2.2290614,0.16363907,0.9417107,1.0230644,1.7990174,3.3380206,0.46130455,1.4155526,0.39780533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-12,1.55,0.66161656,1.7998433,1.220973,1.2653352,2.7068791,1.8152895,1.8387489,1.8967801,1.9933028,6.729728,0.5635932,4.571122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-13,1.41,1.719059,1.9944744,1.4313948,1.1685737,0.8520801,2.1419744,1.9143028,0.59303415,0.6312016,1.0402569,0.08946651,2.4584165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-14,1.35,1.5855901,1.8810036,1.0234052,1.4662421,1.2052557,1.1606731,1.1024888,1.0235714,1.9563745,-0.752648,-0.7017931,0.7426422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-15,1.55,1.2912179,1.6543689,0.8134101,1.4308305,1.2223682,1.088697,1.8330919,1.9077252,0.21560097,-20.635485,1.5540287,5.064358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-16,1.45,1.31887,0.89237005,1.2328119,1.682767,2.084407,1.1105356,0.76622164,1.892139,2.638299,-1.631002,0.42577642,1.2835238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-17,1.58,1.0184164,0.5928983,1.1855283,1.1043409,2.337734,1.8647534,0.5228261,1.7841592,0.78087574,0.9209852,-0.012862325,-1.3515407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-18,1.55,1.5968235,1.1521549,1.2032901,1.1658887,1.4813944,1.764701,1.6665713,1.8496773,0.80696654,3.675114,0.8682978,-1.0916259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
