dt,observed,Mercedes_Level_no_Covariables_7_1,Mercedes_Level_+_Mercedes_Rain_7_1,Mercedes_Level_+_All_Levels_7_1,Mercedes_Level_+_All_Levels_+_All_Rain_7_1,Mercedes_Level_no_Covariables_7_7,Mercedes_Level_+_Mercedes_Rain_7_7,Mercedes_Level_+_All_Levels_7_7,Mercedes_Level_+_All_Levels_+_All_Rain_7_7,Mercedes_Level_no_Covariables_7_30,Mercedes_Level_+_Mercedes_Rain_7_30,Mercedes_Level_+_All_Levels_7_30,Mercedes_Level_+_All_Levels_+_All_Rain_7_30,Mercedes_Level_no_Covariables_160_1,Mercedes_Level_+_Mercedes_Rain_160_1,Mercedes_Level_+_All_Levels_160_1,Mercedes_Level_+_All_Levels_+_All_Rain_160_1,Mercedes_Level_no_Covariables_160_7,Mercedes_Level_+_Mercedes_Rain_160_7,Mercedes_Level_+_All_Levels_160_7,Mercedes_Level_+_All_Levels_+_All_Rain_160_7,Mercedes_Level_no_Covariables_160_30,Mercedes_Level_+_Mercedes_Rain_160_30,Mercedes_Level_+_All_Levels_160_30,Mercedes_Level_+_All_Levels_+_All_Rain_160_30,Mercedes_Level_no_Covariables_365_1,Mercedes_Level_+_Mercedes_Rain_365_1,Mercedes_Level_+_All_Levels_365_1,Mercedes_Level_+_All_Levels_+_All_Rain_365_1,Mercedes_Level_no_Covariables_365_7,Mercedes_Level_+_Mercedes_Rain_365_7,Mercedes_Level_+_All_Levels_365_7,Mercedes_Level_+_All_Levels_+_All_Rain_365_7,Mercedes_Level_no_Covariables_365_30,Mercedes_Level_+_Mercedes_Rain_365_30,Mercedes_Level_+_All_Levels_365_30,Mercedes_Level_+_All_Levels_+_All_Rain_365_30,Mercedes_Level_no_Covariables_500_1,Mercedes_Level_+_Mercedes_Rain_500_1,Mercedes_Level_+_All_Levels_500_1,Mercedes_Level_+_All_Levels_+_All_Rain_500_1,Mercedes_Level_no_Covariables_500_7,Mercedes_Level_+_Mercedes_Rain_500_7,Mercedes_Level_+_All_Levels_500_7,Mercedes_Level_+_All_Levels_+_All_Rain_500_7,Mercedes_Level_no_Covariables_500_30,Mercedes_Level_+_Mercedes_Rain_500_30,Mercedes_Level_+_All_Levels_500_30,Mercedes_Level_+_All_Levels_+_All_Rain_500_30
2017-10-31 07:00:00,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-01 07:00:00,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-02 07:00:00,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-03 07:00:00,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-04 07:00:00,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-05 07:00:00,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-06 07:00:00,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-07 07:00:00,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-08 07:00:00,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09 07:00:00,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-10 07:00:00,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-11 07:00:00,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-12 07:00:00,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-13 07:00:00,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-14 07:00:00,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-15 07:00:00,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-16 07:00:00,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
