dt,observed,Mercedes_Level_no_Covariables_7_1,Mercedes_Level_+_Mercedes_Rain_7_1,Mercedes_Level_+_All_Levels_7_1,Mercedes_Level_+_All_Levels_+_All_Rain_7_1,Mercedes_Level_no_Covariables_7_7,Mercedes_Level_+_Mercedes_Rain_7_7,Mercedes_Level_+_All_Levels_7_7,Mercedes_Level_+_All_Levels_+_All_Rain_7_7,Mercedes_Level_no_Covariables_7_30,Mercedes_Level_+_Mercedes_Rain_7_30,Mercedes_Level_+_All_Levels_7_30,Mercedes_Level_+_All_Levels_+_All_Rain_7_30,Mercedes_Level_no_Covariables_160_1,Mercedes_Level_+_Mercedes_Rain_160_1,Mercedes_Level_+_All_Levels_160_1,Mercedes_Level_+_All_Levels_+_All_Rain_160_1,Mercedes_Level_no_Covariables_160_7,Mercedes_Level_+_Mercedes_Rain_160_7,Mercedes_Level_+_All_Levels_160_7,Mercedes_Level_+_All_Levels_+_All_Rain_160_7,Mercedes_Level_no_Covariables_160_30,Mercedes_Level_+_Mercedes_Rain_160_30,Mercedes_Level_+_All_Levels_160_30,Mercedes_Level_+_All_Levels_+_All_Rain_160_30,Mercedes_Level_no_Covariables_365_1,Mercedes_Level_+_Mercedes_Rain_365_1,Mercedes_Level_+_All_Levels_365_1,Mercedes_Level_+_All_Levels_+_All_Rain_365_1,Mercedes_Level_no_Covariables_365_7,Mercedes_Level_+_Mercedes_Rain_365_7,Mercedes_Level_+_All_Levels_365_7,Mercedes_Level_+_All_Levels_+_All_Rain_365_7,Mercedes_Level_no_Covariables_365_30,Mercedes_Level_+_Mercedes_Rain_365_30,Mercedes_Level_+_All_Levels_365_30,Mercedes_Level_+_All_Levels_+_All_Rain_365_30,Mercedes_Level_no_Covariables_500_1,Mercedes_Level_+_Mercedes_Rain_500_1,Mercedes_Level_+_All_Levels_500_1,Mercedes_Level_+_All_Levels_+_All_Rain_500_1,Mercedes_Level_no_Covariables_500_7,Mercedes_Level_+_Mercedes_Rain_500_7,Mercedes_Level_+_All_Levels_500_7,Mercedes_Level_+_All_Levels_+_All_Rain_500_7,Mercedes_Level_no_Covariables_500_30,Mercedes_Level_+_Mercedes_Rain_500_30,Mercedes_Level_+_All_Levels_500_30,Mercedes_Level_+_All_Levels_+_All_Rain_500_30
2019-03-15 07:00:00,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-16 07:00:00,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-17 07:00:00,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-18 07:00:00,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-19 07:00:00,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-20 07:00:00,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-21 07:00:00,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-22 07:00:00,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-23 07:00:00,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-24 07:00:00,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-25 07:00:00,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-26 07:00:00,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-27 07:00:00,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-28 07:00:00,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-29 07:00:00,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-30 07:00:00,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-31 07:00:00,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-01 07:00:00,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-02 07:00:00,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-03 07:00:00,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-04 07:00:00,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-05 07:00:00,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-06 07:00:00,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-07 07:00:00,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-08 07:00:00,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-09 07:00:00,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-10 07:00:00,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-11 07:00:00,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-12 07:00:00,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-13 07:00:00,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-14 07:00:00,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-15 07:00:00,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-16 07:00:00,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-17 07:00:00,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-18 07:00:00,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-19 07:00:00,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-20 07:00:00,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-21 07:00:00,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-22 07:00:00,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
