dt,observed,Mercedes_Level_32_1,Mercedes_Level_32_7,Mercedes_Level_32_15,Mercedes_Level_32_30,Mercedes_Level_160_1,Mercedes_Level_160_7,Mercedes_Level_160_15,Mercedes_Level_160_30,Mercedes_Level_352_1,Mercedes_Level_352_7,Mercedes_Level_352_15,Mercedes_Level_352_30,Mercedes_Level_480_1,Mercedes_Level_480_7,Mercedes_Level_480_15,Mercedes_Level_480_30
2017-10-31 07:00:00,3.15,,,,,,,,,,,,,,,,
2017-11-01 07:00:00,3.42,,,,,,,,,,,,,,,,
2017-11-02 07:00:00,3.65,,,,,,,,,,,,,,,,
2017-11-03 07:00:00,3.06,,,,,,,,,,,,,,,,
2017-11-04 07:00:00,2.88,,,,,,,,,,,,,,,,
2017-11-05 07:00:00,2.79,,,,,,,,,,,,,,,,
2017-11-06 07:00:00,2.7,,,,,,,,,,,,,,,,
2017-11-07 07:00:00,2.52,,,,,,,,,,,,,,,,
2017-11-08 07:00:00,1.8,,,,,,,,,,,,,,,,
2017-11-09 07:00:00,1.48,,,,,,,,,,,,,,,,
2017-11-10 07:00:00,1.5,,,,,,,,,,,,,,,,
2017-11-11 07:00:00,1.75,,,,,,,,,,,,,,,,
2017-11-12 07:00:00,2.0,,,,,,,,,,,,,,,,
2017-11-13 07:00:00,1.7,,,,,,,,,,,,,,,,
2017-11-14 07:00:00,1.95,,,,,,,,,,,,,,,,
2017-11-15 07:00:00,1.45,,,,,,,,,,,,,,,,
2017-11-16 07:00:00,1.48,,,,,,,,,,,,,,,,
2017-11-17 07:00:00,1.88,,,,,,,,,,,,,,,,
2017-11-18 07:00:00,1.8,,,,,,,,,,,,,,,,
2017-11-19 07:00:00,1.8,,,,,,,,,,,,,,,,
2017-11-20 07:00:00,1.46,,,,,,,,,,,,,,,,
2017-11-21 07:00:00,1.55,,,,,,,,,,,,,,,,
2017-11-22 07:00:00,2.0,,,,,,,,,,,,,,,,
2017-11-23 07:00:00,2.1,,,,,,,,,,,,,,,,
2017-11-24 07:00:00,1.9,,,,,,,,,,,,,,,,
2017-11-25 07:00:00,2.35,,,,,,,,,,,,,,,,
2017-11-26 07:00:00,1.65,,,,,,,,,,,,,,,,
2017-11-27 07:00:00,1.2,,,,,,,,,,,,,,,,
2017-11-28 07:00:00,1.9,,,,,,,,,,,,,,,,
2017-11-29 07:00:00,1.6,,,,,,,,,,,,,,,,
2017-11-30 07:00:00,1.18,,,,,,,,,,,,,,,,
2017-12-01 07:00:00,1.08,,,,,,,,,,,,,,,,
2017-12-02 07:00:00,0.8,,,,,,,,,,,,,,,,
2017-12-03 07:00:00,1.0,,,,,,,,,,,,,,,,
